Product ID,Product Name,Category,Sub-Category,total_orders,total_units,total_revenue,total_profit,profit_margin_pct,avg_discount_pct
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",Furniture,Bookcases,1,4,825.17,-66.22,-8.0,22.5
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,Bookcases,3,12,1064.62,-84.26,-7.9,25.2
FUR-BO-10000362,Sauder Inglewood Library Bookcases,Furniture,Bookcases,5,24,2154.35,-218.24,-10.1,25.9
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,6,19,723.84,-55.79,-7.7,25.4
FUR-BO-10000711,"Hon Metal Bookcases, Gray",Furniture,Bookcases,2,10,851.76,-59.11,-6.9,25.2
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,Bookcases,5,24,2946.37,-224.49,-7.6,23.4
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,10,48,2970.06,-277.79,-9.4,25.3
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,5,28,1119.2,-104.68,-9.4,24.8
FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Furniture,Bookcases,1,4,90.88,-3.24,-3.6,21.3
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,Bookcases,3,13,935.2,-72.14,-7.7,23.3
FUR-BO-10001608,"Hon Metal Bookcases, Black",Furniture,Bookcases,5,17,1570.08,-146.2,-9.3,24.4
FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,Furniture,Bookcases,2,12,424.9,-36.92,-8.7,24.4
FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases,4,17,1263.96,-110.13,-8.7,23.7
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,Bookcases,8,40,5492.88,-444.6,-8.1,24.2
FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Furniture,Bookcases,3,14,1014.17,-94.62,-9.3,24.6
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,7,24,2740.2,-250.41,-9.1,25.5
FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Furniture,Bookcases,2,13,400.03,-35.04,-8.8,23.7
FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",Furniture,Bookcases,1,7,119.83,-11.88,-9.9,23.3
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,Bookcases,6,18,11046.61,-1012.68,-9.2,24.9
FUR-BO-10002213,"Sauder Forest Hills Library, Woodland Oak Finish",Furniture,Bookcases,4,12,1875.03,-155.44,-8.3,24.1
FUR-BO-10002268,Sauder Barrister Bookcases,Furniture,Bookcases,3,13,754.73,-59.9,-7.9,22.3
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,8,35,7539.71,-642.28,-8.5,24.3
FUR-BO-10002598,"Hon Metal Bookcases, Putty",Furniture,Bookcases,5,27,1320.23,-114.46,-8.7,24.1
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,6,32,5184.08,-495.9,-9.6,26.4
FUR-BO-10002824,Bush Mission Pointe Library,Furniture,Bookcases,3,17,748.86,-67.59,-9.0,24.5
FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,4,13,540.8,-63.9,-11.8,26.8
FUR-BO-10002916,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Furniture,Bookcases,4,16,2487.76,-210.61,-8.5,25.8
FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,Bookcases,5,22,1912.31,-191.29,-10.0,26.7
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Furniture,Bookcases,7,21,1909.82,-186.77,-9.8,26.3
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,Bookcases,6,29,3420.77,-271.09,-7.9,24.7
FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",Furniture,Bookcases,2,13,3447.84,-326.26,-9.5,25.7
FUR-BO-10003433,Sauder Cornerstone Collection Library,Furniture,Bookcases,3,5,322.19,-18.64,-5.8,23.5
FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",Furniture,Bookcases,6,27,1473.3,-137.73,-9.3,25.6
FUR-BO-10003450,"Bush Westfield Collection Bookcases, Dark Cherry Finish",Furniture,Bookcases,3,5,649.38,-55.56,-8.6,22.8
FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,Furniture,Bookcases,4,23,1474.31,-149.01,-10.1,26.2
FUR-BO-10003660,"Bush Cubix Collection Bookcases, Fully Assembled",Furniture,Bookcases,3,12,729.23,-60.43,-8.3,24.1
FUR-BO-10003893,Sauder Camden County Collection Library,Furniture,Bookcases,2,9,1368.26,-107.61,-7.9,23.6
FUR-BO-10003894,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",Furniture,Bookcases,3,12,802.07,-87.58,-10.9,25.8
FUR-BO-10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Furniture,Bookcases,4,21,1646.92,-156.77,-9.5,25.6
FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,Bookcases,4,13,1427.68,-132.22,-9.3,25.5
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",Furniture,Bookcases,9,32,3317.72,-316.72,-9.5,26.1
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,Bookcases,7,31,3242.54,-309.48,-9.5,25.2
FUR-BO-10004357,O'Sullivan Living Dimensions 3-Shelf Bookcases,Furniture,Bookcases,3,10,2220.83,-221.54,-10.0,25.8
FUR-BO-10004360,Rush Hierlooms Collection Rich Wood Bookcases,Furniture,Bookcases,2,11,489.38,-51.07,-10.4,23.2
FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,Bookcases,6,28,858.86,-79.95,-9.3,24.4
FUR-BO-10004467,Bestar Classic Bookcase,Furniture,Bookcases,8,37,1897.81,-166.16,-8.8,24.9
FUR-BO-10004690,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,Furniture,Bookcases,2,11,1072.34,-103.15,-9.6,26.2
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,Bookcases,7,33,4886.46,-391.62,-8.0,23.8
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,Bookcases,9,38,1426.89,-134.7,-9.4,26.3
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,5,17,15610.97,-1384.13,-8.9,24.6
FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,Furniture,Chairs,6,21,6584.64,-1.7,-0.0,9.3
FUR-CH-10000155,Global Comet Stacking Armless Chair,Furniture,Chairs,5,19,2811.07,-11.32,-0.4,10.6
FUR-CH-10000225,"Global Geo Office Task Chair, Gray",Furniture,Chairs,7,32,1757.27,6.21,0.4,10.8
FUR-CH-10000229,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Furniture,Chairs,4,11,2032.35,-8.31,-0.4,9.9
FUR-CH-10000309,Global Comet Stacking Arm Chair,Furniture,Chairs,5,25,6084.14,17.67,0.3,9.5
FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,Furniture,Chairs,9,34,2647.81,-23.19,-0.9,9.7
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,12,45,10637.53,16.81,0.2,8.8
FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,Chairs,9,50,4770.63,36.4,0.8,10.4
FUR-CH-10000553,"Metal Folding Chairs, Beige, 4/Carton",Furniture,Chairs,5,18,685.59,6.55,1.0,9.5
FUR-CH-10000595,Safco Contoured Stacking Chairs,Furniture,Chairs,8,25,5697.76,42.38,0.7,9.5
FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair, Black",Furniture,Chairs,8,40,3472.54,16.45,0.5,10.0
FUR-CH-10000749,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Furniture,Chairs,2,12,2207.96,9.88,0.4,9.1
FUR-CH-10000785,Global Ergonomic Managers Chair,Furniture,Chairs,11,34,6008.54,-33.86,-0.6,10.5
FUR-CH-10000847,Global Executive Mid-Back Manager's Chair,Furniture,Chairs,6,26,4626.58,21.29,0.5,9.1
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,Chairs,7,30,2385.48,3.04,0.1,9.8
FUR-CH-10000988,Hon Olson Stacker Stools,Furniture,Chairs,10,47,5294.46,-21.97,-0.4,10.9
FUR-CH-10001146,"Global Task Chair, Black",Furniture,Chairs,5,18,463.1,-24.26,-5.2,8.5
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,9,30,1784.08,-15.92,-0.9,11.0
FUR-CH-10001190,Global Deluxe High-Back Office Chair in Storm,Furniture,Chairs,3,12,1087.92,19.5,1.8,8.3
FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs,9,33,12975.38,-53.17,-0.4,10.8
FUR-CH-10001270,Harbour Creations Steel Folding Chair,Furniture,Chairs,8,35,2389.12,9.51,0.4,10.2
FUR-CH-10001394,Global Leather Executive Chair,Furniture,Chairs,7,40,5861.53,-22.06,-0.4,11.0
FUR-CH-10001482,Office Star - Mesh Screen back chair with Vinyl seat,Furniture,Chairs,7,21,2200.46,-16.96,-0.8,11.2
FUR-CH-10001545,Hon Comfortask Task/Swivel Chairs,Furniture,Chairs,6,27,1686.9,25.84,1.5,9.8
FUR-CH-10001708,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,Furniture,Chairs,7,33,3989.73,-18.13,-0.5,11.1
